comp_name,duplicate_name
1xgq_B+A|C,1xgr_B+A|C
1xgq_B+A|C,1nby_B+A|C
1xgq_B+A|C,1dqj_B+A|C
1xgq_B+A|C,1nbz_B+A|C
1xgq_B+A|C,1xgt_B+A|C
1xgq_B+A|C,1xgu_B+A|C
1xgq_B+A|C,1xgp_B+A|C
6s3t_D+C|S,6s3t_N+M|A
6s3t_D+C|S,6s3t_R+Q|B
6s3t_D+C|S,6s3t_E+I|T
6hhd_B|A,6hhd_D|C
6hhd_B|A,6her_B|A
3l5x_H+L|A,3l5w_B+A|J
3l5x_H+L|A,3l5w_H+L|I
3hi6_X+Y|B,3hi6_H+L|A
5gs0_D+C|A,3ulu_D+C|A
5gs0_D+C|A,5gs0_F+E|B
5gs0_D+C|A,3ulv_D+C|A
6bpc_E+F|D,6bpc_B+C|A
5vnw_C|B,5vnw_D|A
1dqj_B+A|C,1xgr_B+A|C
1dqj_B+A|C,1nby_B+A|C
1dqj_B+A|C,1xgq_B+A|C
1dqj_B+A|C,1nbz_B+A|C
1dqj_B+A|C,1xgt_B+A|C
1dqj_B+A|C,1xgu_B+A|C
1dqj_B+A|C,1xgp_B+A|C
5o1r_I+M|B,5o1r_H+L|A
6jb5_A|B,6jb2_A|B
6jb5_A|B,1zvy_A|B
6jb5_A|B,6jb8_A|B
1p2c_B+A|C,1p2c_E+D|F
1bvk_B+A|C,1vfb_B+A|C
1bvk_B+A|C,1g7i_B+A|C
1bvk_B+A|C,1g7l_B+A|C
1bvk_B+A|C,1a2y_B+A|C
1bvk_B+A|C,1g7m_B+A|C
1bvk_B+A|C,1g7h_B+A|C
1bvk_B+A|C,1g7j_B+A|C
1bvk_B+A|C,1kir_B+A|C
1bvk_B+A|C,1bvk_E+D|F
1bvk_B+A|C,1kip_B+A|C
1nbz_B+A|C,1xgr_B+A|C
1nbz_B+A|C,1nby_B+A|C
1nbz_B+A|C,1xgq_B+A|C
1nbz_B+A|C,1dqj_B+A|C
1nbz_B+A|C,1xgt_B+A|C
1nbz_B+A|C,1xgu_B+A|C
1nbz_B+A|C,1xgp_B+A|C
3bt2_H+L|U,2fd6_H+L|U
1g7j_B+A|C,1vfb_B+A|C
1g7j_B+A|C,1g7i_B+A|C
1g7j_B+A|C,1g7l_B+A|C
1g7j_B+A|C,1a2y_B+A|C
1g7j_B+A|C,1g7m_B+A|C
1g7j_B+A|C,1g7h_B+A|C
1g7j_B+A|C,1bvk_B+A|C
1g7j_B+A|C,1kir_B+A|C
1g7j_B+A|C,1bvk_E+D|F
1g7j_B+A|C,1kip_B+A|C
5hgg_S|B,5hgg_T|A
2nz9_F+E|B,2nz9_D+C|A
3rvx_D+C|A,3rvw_D+C|A
3rvx_D+C|A,5vpg_D+C|A
3rvx_D+C|A,5vph_D+C|A
5vco_D+C|E,5vco_B+A|F
5vco_D+C|E,4pp2_D+C|E
5vco_D+C|E,4pp2_B+A|F
4rfn_B+C|A,4rfn_H+L|G
3rvw_D+C|A,3rvx_D+C|A
3rvw_D+C|A,5vpg_D+C|A
3rvw_D+C|A,5vph_D+C|A
5gs0_F+E|B,3ulu_D+C|A
5gs0_F+E|B,5gs0_D+C|A
5gs0_F+E|B,3ulv_D+C|A
5if0_A+B|I,5ies_H+L|C
5if0_A+B|I,5if0_H+L|G
4etq_A+B|X,4etq_H+L|C
3eoa_B+A|J,3eob_H+L|I
3eoa_B+A|J,3eoa_H+L|I
3eoa_B+A|J,3eob_B+A|J
5vl3_E+F|T,5vl3_H+L|Q
5vl3_E+F|T,5vl3_A+B|R
5vl3_E+F|T,5vl3_C+D|S
1kir_B+A|C,1vfb_B+A|C
1kir_B+A|C,1g7i_B+A|C
1kir_B+A|C,1g7l_B+A|C
1kir_B+A|C,1a2y_B+A|C
1kir_B+A|C,1g7m_B+A|C
1kir_B+A|C,1g7h_B+A|C
1kir_B+A|C,1bvk_B+A|C
1kir_B+A|C,1g7j_B+A|C
1kir_B+A|C,1bvk_E+D|F
1kir_B+A|C,1kip_B+A|C
1p2c_E+D|F,1p2c_B+A|C
5ggr_A+B|Y,5ggr_H+L|Z
3ulv_D+C|A,3ulu_D+C|A
3ulv_D+C|A,5gs0_D+C|A
3ulv_D+C|A,5gs0_F+E|B
3ulu_H+L|A,3ulv_H+L|A
5vpg_D+C|A,3rvx_D+C|A
5vpg_D+C|A,3rvw_D+C|A
5vpg_D+C|A,5vph_D+C|A
5vpl_D+C|A,3rvv_D+C|A
4pp2_D+C|E,5vco_B+A|F
4pp2_D+C|E,5vco_D+C|E
4pp2_D+C|E,4pp2_B+A|F
